URI,http://apps.ideaconsult.net:8080/enanomapper/property/0742483C22DF4FD0124E85A850ED22F605CB2442,http://apps.ideaconsult.net:8080/enanomapper/property/476FE8F5AB551BF765AEA233F1FBF8166ECAC4B0,http://apps.ideaconsult.net:8080/enanomapper/property/4251062C842998FA466DE8D32D40AFFB86F945D0,http://apps.ideaconsult.net:8080/enanomapper/property/CFE2E9C6D9FC63ED953CBBD083C05BF52793044E,http://apps.ideaconsult.net:8080/enanomapper/property/E1300FD8CA77C148D323E2BADFACC1AB1DC5B60D,http://apps.ideaconsult.net:8080/enanomapper/property/6706E7059C5CD3A8C4C7B502E8B72F14841AAE2C,http://apps.ideaconsult.net:8080/enanomapper/property/7DF9E2F991E6BA189A656D08855D79E462260D6D,http://apps.ideaconsult.net:8080/enanomapper/property/6FB266F7D4AECEC6F82E0752E6345BE187740A20,http://apps.ideaconsult.net:8080/enanomapper/property/A7AE715964325AECE9B4FA958860B93CBC5CEAEC,http://apps.ideaconsult.net:8080/enanomapper/property/6D9370D3D616D6B62174E3E7B2967C2D21982369,http://apps.ideaconsult.net:8080/enanomapper/property/5CB0C22819D8C461DFC2B13A7BE800F74967DAB9,http://apps.ideaconsult.net:8080/enanomapper/property/75F199D57123D0A42487D6C6E303CB47D0271C50,http://apps.ideaconsult.net:8080/enanomapper/property/234F2902BEE181D7C01C36E4647297BA1CF01166,http://apps.ideaconsult.net:8080/enanomapper/property/9D84BF9556FB98F0B037D88B57839180B5A21DF4,http://apps.ideaconsult.net:8080/enanomapper/property/CDCC53CE7A02DE84F5D4594695D4497F3B3F01D0,http://apps.ideaconsult.net:8080/enanomapper/property/D40DD4651571AD0422DEB2232CE902DBD50BDFCA,http://apps.ideaconsult.net:8080/enanomapper/property/7EBD52A7BB62961F5935D97023D923DC0C7EF4E2,http://apps.ideaconsult.net:8080/enanomapper/property/F551100E185F583AD3295FC4D7E51BC087412278,http://apps.ideaconsult.net:8080/enanomapper/property/891BC7EB2EBF6604836E731786F64C844E057AFB,http://apps.ideaconsult.net:8080/enanomapper/property/D70B21712517AC925CF75AB390E79DDC0C317BEB,http://apps.ideaconsult.net:8080/enanomapper/property/1BEFE07ED89FFD85D5394B7C0E550ACA6FEF5C83,http://apps.ideaconsult.net:8080/enanomapper/property/CDDE741EE745B280A4714B3036E1D815B727EDC4,http://apps.ideaconsult.net:8080/enanomapper/property/1F5FE8730629B5B795DBF3E8BA2DA800B079C7B9,http://apps.ideaconsult.net:8080/enanomapper/property/80CFF3D48ABF41A2504EA2DF7E5FEBCF66A6D40B,http://apps.ideaconsult.net:8080/enanomapper/property/95BD675EF56406C1D4B062003D92FD296B13B5CA,DoAhttp://apps.ideaconsult.net:8080/enanomapper/substanceowner/FCSV-40474F13-236E-3B60-9339-2786525212F3/dataset
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-bc77c03d-4e75-3fab-bb3d-17b983663819,0.008109,0.005258,0.004562,0.004996,0.018817,0.002534,0.011721,0.0321,0.001521,0.037844,0.011319,0.00341,0.005903,0,0.013178,0.010897,0,0.00601,0,0.002027,0,0,0,0,-5.17622,0.881043
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-8f5cd32a-3350-300b-91d0-87000ee5d7ee,0.002964,0.009261,0.004331,0.003908,0.034479,0.005547,0.003372,0.008865,0.001567,0.018364,0.015324,0.000725,0.000916,0.00228,0.034195,0.00057,0,0.004071,0.082447,0,0.050912,0.011778,0,0.00076,-1.296059,0.870798
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-2bd3347a-7760-33c4-b689-62ecf6121552,0.00947,0.004213,0.004494,0.002637,0.029494,0.002247,0.014848,0.006688,0.001505,0.104334,0.004637,0.000219,0.002927,0,0.004414,0,0,0.002408,0,0,0,0,0,0,-5.518123,0.949431
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-8b836141-df79-3763-8f76-4e15b30ff76f,0.009897,0.004256,0.006176,0.002262,0.026623,0.002692,0.01158,0.008709,0.00188,0.096068,0.005542,0.000144,0.005589,0,0.004355,0.003563,0,0.001357,0,0,0,0,0,0,-5.672968,0.915144
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-f3d54c07-7dd4-3124-b5bf-341eb9eb4e82,0.004482,0.009144,0.00482,0.002235,0.033087,0.005074,0.013214,0.011557,0.001057,0.01635,0.014846,0.000615,0.00092,0.001057,0.025581,0.002748,0,0.005557,0.046512,0.000085,0.026638,0.013531,0,0,-1.324318,0.841362
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-0fe5f223-9c02-363c-a23c-70f1f36ffbec,0.005489,0.006696,0.002646,0.00359,0.019593,0.007143,0.013476,0.001764,0.003307,0.061949,0.010068,0.002646,0.010543,0.000661,0.015542,0.001984,0,0,0,0,0,0,0,0,-7.127578,0.926534
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-ae94c9b5-ffeb-3b3b-8464-1dfe3dbde073,0.014606,0.014428,0.004376,0.008049,0.005607,0.017396,0.009505,0.004376,0.000752,0.028629,0.005106,0.003034,0.009525,0.015864,0.006291,0.024617,0.008206,0.000391,0,0.000109,0,0,0.000547,0,-5.432402,0.867143
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-6d5b38c4-f57f-31de-b8b4-2719792f82f2,0.014165,0.017356,0.003506,0.007213,0.008853,0.015568,0.007451,0.02057,0.00149,0.02244,0.005454,0.002231,0.00627,0.008065,0.013324,0.022791,0.017532,0.001603,0.000701,0.000561,0,0,0.000701,0,-5.87807,0.866279
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-3868634d-1b21-3a0b-ab5a-96938d4e2f04,0.01572,0.013376,0.00625,0.010146,0.005919,0.013636,0.005445,0.104482,0.004261,0.006629,0.001052,0.001636,0.002172,0.011364,0,0.008049,0,0,0,0,0,0,0,0.001894,-7.286439,0.850011
http://apps.ideaconsult.net:8080/enanomapper/substance/FCSV-d77c0e54-669f-3d6f-b635-2b6271b705ba,0.015665,0.012071,0.004578,0.00889,0.007779,0.01588,0.010104,0.062947,0.001609,0.017883,0.004053,0.00065,0.00446,0.006795,0.002504,0.010014,0.017883,0.001124,0,0,0,0,0,0,-7.578649,0.81891
